,barbero,edited_transcription,path
26,1,"Che questo attentato in cui è stato ammazzato l'arciduca e sua moglie è stato organizzato in Serbia con complicità nel governo serbo, nell'esercito serbo, gli austriaci sono sicuri fin dal primo giorno.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/026.flac
27,1,"Tra l'altro, è vero, verrà fuori. Dalle indagini non c'è dubbio, ci sono queste complicità in Serbia e dunque l'Austria è decisa a punire la Serbia.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/027.flac
28,1,E qui veramente voi dovete fare lo sforzo di pensare Non all'Austria alla Serbia stati dimenticati. Come erano allora? Chi si ricorda? No qui c'è lo Stato canaglia che organizza il terrorismo all'estero.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/028.flac
29,1,"E c'è chi ha subito l'attentato terroristico che è deciso a punire lo Stato canaglia. in Austria, c'è un'ondata di indignazione di massa. Le folle sono in piazza a gridare la Serbia deve morire.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/029.flac
30,1,In tedesco fa anche assonanza: Serbien muss sterben.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/030.flac
31,1,Però c'è un problema.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/031.flac
32,1,La Serbia ha un grande amico ha un grande protettore la Russia.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/032.flac
33,1,la Russia dello zar Nicola II,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/033.flac
34,1,L'amicizia fra la Serbia e la Russia è una cosa è un dato ovvio della geografia Europea. è vero anche oggi. la Russia è una potenza Slava ortodossa i serbi sono slavi ortodossi anche nelle guerre jugoslave degli anni 90 la Russia spalleggiava la Serbia.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/034.flac
35,1,Allarghiamo un attimo il discorso la Serbia ha un grande amico la Russia tutti in quel mondo del 1914 cercano di avere degli amici degli alleati.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/035.flac
36,1,È un aspetto fondamentale il peso delle alleanze per capire come mai si scivola nella Guerra Mondiale.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/036.flac
37,1,Perché quello non è un mondo di blocchi.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/037.flac
38,1,"Vabbè ormai non lo è più neanche il nostro è rimasto solo il blocco americano. Ma insomma tutti ci ricordiamo quando il nostro mondo Era diviso in due blocchi. E al di fuori dei due blocchi non si faceva niente. Il mondo del 14, non è così. è un mondo di potenze grandi e piccole. Quali sono le grandi potenze l'Inghilterra la Germania la Francia la Russia l'austria-ungheria",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/038.flac
39,1,"Poi per cortesia, ci si mette anche l'Italia di solito ultima delle grandi potenze con un po' di sforzo e poi ci sono le piccole potenze, ma anche loro bellicose nazionaliste agguerrite la Serbia la Romania il Belgio.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/039.flac
40,1,Non sono divise in blocchi ognuno pensa per sé. È l'epoca in cui il nazionalismo è al massimo ogni paese è convinto di avere il dovere di pensare per sé.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/040.flac
41,1,È quello che un politico italiano il Presidente del Consiglio Salandra proprio in quei giorni definirà il Sacro egoismo.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/041.flac
42,1,"Però se uno deve pensare per sé deve anche cercare di avere degli alleati perché da soli si finisce male, quindi ciascuno per la propria sicurezza, cerca di avere delle alleanze: la Serbia è alleata della Russia.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/042.flac
43,1,Gli austriaci pensano che insomma il mondo capirà. la Serbia è chiaramente uno stato canaglia che ha organizzato il terrorismo va punita per la sicurezza di tutti.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/043.flac
44,1,Però il dubbio gli viene che forse se l'Austria attacca la Serbia i russi potrebbero intervenire.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/044.flac
45,1,"Ma anche l'Austria ha un amico potente più potente di lei. Perché l'Austria è un grande impero in declino tutto sommato un po' tutti lo so aspettano che sia in declino e invece l'Austria ha un amico potentissimo che sta diventando la più grande potenza mondiale la Germania. la Germania del kaiser Guglielmo lo ricordate Guglielmo coi Baffoni a manubrio l'elmo chiodato? Ma al di là del kaiser che è una figura un po' comica la Germania, è una grandissima Potenza. Ha il più forte esercito del mondo.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/045.flac
46,1,"E sta costruendo la più forte industria del mondo. Anzi è già diventata, la Germania, la più grande potenza industriale ha già sorpassato l'Inghilterra.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/046.flac
47,1,L'Austria è alleata della Germania con un'alleanza che impegna i due paesi ad aiutarsi se uno dei due viene aggredito.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/047.flac
48,1,A dir la verità l'alleanza comprenderebbe anche l'Italia. Infatti non per niente si chiama la Triplice Alleanza.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/048.flac
49,1,Però in quei giorni di crisi del 14 si vede benissimo che all'Italia non ci crede nessuno gli austriaci non ci credono che se loro fanno la guerra l'Italia verrà ad aiutarli. lo tagliano lo escludono proprio a priori questo discorso e infatti hanno ragione l'Italia in nome del Sacro egoismo deciderà di star fuori per il momento.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/049.flac
50,1,Ma c'è la Germania l'Austria ha abbastanza buon senso da sapere che prima di fare qualcosa contro la Serbia bisogna chiedere cosa pensano i tedeschi.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/050.flac
51,1,Il 3 luglio ci sono i funerali di Francesco Ferdinando,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/051.flac
52,1,"Il giorno dopo il 4 luglio l'imperatore il vecchio imperatore Francesco Giuseppe scrive al Kaiser Guglielmo dicendogli. Ecco è molto interessante, questa lettera dell'imperatore d'Austria, non è precisa lucida, non dice vogliamo fare questo è una lettera più o meno di questo genere dice Francesco Giuseppe Guglielmo, lo vedi anche tu che così non si può andare avanti la Serbia è un focolaio criminale va punita, anche se la Russia la protegge. Non sei d'accordo?",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/052.flac
53,1,Ecco è una lettera che a me fa pensare alle motivazioni con cui gli occidentali sono andati in Iraq in Afghanistan dopo l'11 settembre.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/053.flac
54,1,Cioè bisogna fare qualcosa,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/054.flac
55,1,"Non è che c'è un ragionamento lucido sulle conseguenze, quella che oggi si chiama una exit strategy. No, non sei d'accordo che bisogna fare qualcosa?",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/055.flac
56,1,"Per fortuna dell'Austria il Kaiser Guglielmo è d'accordo. quando gli è arrivata la notizia dell'attentato di Sarajevo, il Kaiser Guglielmo sul telegramma ha annotato.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/056.flac
57,1,Sarebbe veramente ora di far Piazza Pulita dei serbi.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/057.flac
58,1,Di conseguenza il 5 luglio Il Kaiser Guglielmo risponde al suo collega austriaco dicendogli andate avanti State tranquilli. Se la Russia dovesse intromettersi la Germania sta con voi.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/058.flac
59,1,Ma il Kaiser aggiunge anche però state davvero tranquilli. I Russi non avranno il coraggio di intromettersi,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/059.flac
60,1,Noi siamo sicuri la Russia starà fuori.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/060.flac
61,1,È la prima scommessa.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/061.flac
62,1,"La storia di stasera è una storia di scommesse una dopo l'altra tutte sbagliate e come dire come Vedremo le guerre scoppiano non perché qualcuno le vuole, non vuole mai nessuno la guerra perlomeno non la guerra mondiale la guerra generale, mai nessuno la vuole le guerre scoppiano perché qualcuno fa una scommessa sbagliata.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/062.flac
63,1,Mi fermo ancora un momento su questa assicurazione che il Kaiser Guglielmo manda il suo collega austriaco andate avanti. Noi siamo con voi State tranquilli.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/063.flac
64,1,È una rassicurazione che gli storici hanno poi chiamato l'assegno in bianco.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/064.flac
65,1,"Come è stato dato questo assegno in bianco? la Germania è già un paese parlamentare ci sono i partiti il Parlamento le libere elezioni, il Kaiser non ha sentito nessuno ha scritto lui prima ancora di consultare chiunque al suo collega l'imperatore d'Austria dicendo vai tranquillo. Poi il Kaiser ha sentito qualcuno, chi il Parlamento? Ma neanche per idea! ha sentito il cancelliere il primo ministro, cioè",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/065.flac
66,1,Ha sentito il comandante dell'esercito il generale Von Moltke e il generale Von Moltke gli ha detto: se scoppia una guerra noi siamo pronti.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/066.flac
67,1,"E poi questo è interessante. Chi ha sentito ancora il Kaiser Guglielmo? ha sentito Alfred Krupp il grande industriale delle Armi. La Krupp è la grande fabbrica più grande fabbrica di armi del mondo il Kaiser ha sentito il bisogno di consultare Alfred Krupp, se mai dovesse scoppiare una guerra le industrie Krupp sono pronte? e Alfred Krupp ha assicurato le industrie Krupp sono pronte.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/067.flac
68,1,Però sono sicuri che la guerra non scoppierà Tant'è vero che il Kaiser dopo aver mandato l'assegno in bianco A Vienna si imbarca sul se sul suo yacht e va in crociera nel Baltico,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/068.flac
69,1,Siamo a luglio la gente vuol fare le vacanze e anche il Kaiser parte in vacanza.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/069.flac
70,1,questa scommessa tedesca,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/070.flac
71,1,"Che la guerra Sì c'è un rischio, ma vedrete che la guerra non verrà è un aspetto cruciale del discorso che dobbiamo fare stasera e perciò mi devo ancora fermare su questo la scommessa. È una scommessa ancora più grossa di quello che sembra.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/071.flac
72,1,"Per la questione delle alleanze perché in ballo non c'è solo la Russia, la Russia è il grande amico della Serbia.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/072.flac
73,1,Ma la Russia ha un'alleanza con la Francia,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/073.flac
74,1,"È un'alleanza innaturale dal punto di vista politico, se ci pensate la Francia la Repubblica laica anticlericale radicale e l'impero dello zar l'impero ortodosso lo stato più assolutista e reazionario che ci sia sul continente. è un'alleanza innaturale, eppure da vent'anni sono alleati la Francia e la Russia. Perché? e basta guardare la carta geografica.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/074.flac
75,1,La carta geografica di allora. oggi a noi sembra che la Germania sia una grande potenza.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/075.flac
76,1,La Germania di allora era molto più grande.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/076.flac
77,1,"Non esisteva la Polonia non esisteva la Cecoslovacchia non esistevano gli stati baltici, c'era solo la Germania e a un certo punto la Russia sulla carta d'Europa del 14 c'è la Germania in mezzo che confina con la Francia e con la Russia. E allora è chiaro che la Francia e la Russia hanno tutto l'interesse a essere alleati.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/077.flac
78,1,E i tedeschi quando scommettono che non ci sarà la guerra.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/078.flac
79,1,"Che non ci sarà la guerra mondiale quella piccola dell'Austria con la Serbia. Sì, certo. Va benissimo Ci vuole ma quando Scommettono che non ci sarà la guerra i tedeschi stanno Scommettendo che non ci sarà la guerra contro Russia e Francia, perché il rischio è quello. come mai corrono questo rischio?",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/079.flac
80,1,"La seconda parte di questo discorso di questa chiacchierata sarà una specie di conto alla rovescia gli ultimi giorni, ma prima Dobbiamo tracciare un quadro più ampio farvi entrare nella testa di quella gente che governa il mondo in quel momento.",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/080.flac
81,1,Com'è il mondo com'è l'Europa in quel momento l'Europa del 1914?,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/081.flac
82,1,Sta vivendo una fase di grande prosperità di grande espansione economica.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/082.flac
83,1,Dopo i decenni di crisi economica della fine dell'Ottocento l'economia ha ricominciato a tirare. Stan crescendo tutti.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/083.flac
84,1,"C'è perfino una specie di globalizzazione ante litteram Vabbè. Oggi è molto facile trovare le globalizzazione nel passato, io ne ho viste di tutti i tipi, anche l'impero romano era una globalizzazione, ma comunque questa del 14 ha i tratti di una globalizzazione le economie, sono sono interdipendenti. Le borse sono interdipendenti, le monete son collegate sono ancorate tra loro la lira italiana vale esattamente quanto il Franco francese si viaggia in tutta Europa senza passaporto. Tranne i Russia in Russia, ci vuole il passaporto per entrarci va bene. il resto d'Europa è così interdipendente che sembra incredibile che possa scoppiare una guerra fra queste potenze. Eppure al tempo stesso tutti questi paesi anche l'Italia sono Armati Fino Ai Denti",/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/084.flac
85,1,Hanno tutti delle spese militari di un livello paragonabile a quelle americane di oggi spendono somme enormi per l'esercito per la flotta da guerra. e perché lo fanno? lo fanno perché hanno paura gli uni degli altri.,/hd4tb/archivio_barbero/splits/7_La_Prima_Guerra_Mondiale__Come_scoppiano_le_guerre__Barbero_Riserva_Festival_della_Mente_2014/085.flac
